tiempo,Em_Mt,id_futuro
1998,-45.21235093,id_futuro_11
1999,-57.66985938,id_futuro_11
2000,-65.94570942,id_futuro_11
2001,-66.57002968,id_futuro_11
2002,-56.9177178,id_futuro_11
2003,-69.35342554,id_futuro_11
2004,-64.22017798,id_futuro_11
2005,-63.16781914,id_futuro_11
2006,-65.86464056,id_futuro_11
2007,-54.83547569,id_futuro_11
2008,-54.56990956,id_futuro_11
2009,-57.67206523,id_futuro_11
2010,-64.49615671,id_futuro_11
2011,-59.04463864,id_futuro_11
2012,-58.1032636,id_futuro_11
2013,-64.77339325,id_futuro_11
2014,-56.90301891,id_futuro_11
2015,-46.55264505,id_futuro_11
2016,-60.61134026,id_futuro_11
2017,13.47715115,id_futuro_11
2018,-50.41284301,id_futuro_11
2019,-48.00690099,id_futuro_11
2020,-49.53094698,id_futuro_11
2021,-53.3971054,id_futuro_11
2022,-52.75767002,id_futuro_11
2023,-54.27220865,id_futuro_11
2024,-47.81867346,id_futuro_11
2025,-54.06915159,id_futuro_11
2026,-52.83988421,id_futuro_11
2027,-51.29785128,id_futuro_11
2028,-41.46392514,id_futuro_11
2029,-54.09936807,id_futuro_11
2030,-48.86988334,id_futuro_11
2031,-51.72498293,id_futuro_11
2032,-51.96481179,id_futuro_11
2033,-51.73805705,id_futuro_11
2034,-41.6542371,id_futuro_11
2035,-49.18753999,id_futuro_11
2036,-52.0393592,id_futuro_11
2037,-52.82196816,id_futuro_11
2038,-43.18753736,id_futuro_11
2039,-46.52699845,id_futuro_11
2040,-55.77812046,id_futuro_11
2041,-43.23387006,id_futuro_11
2042,-52.73804598,id_futuro_11
2043,-49.02708371,id_futuro_11
2044,-58.45850141,id_futuro_11
2045,-47.36362971,id_futuro_11
2046,-54.4084363,id_futuro_11
2047,-51.26001603,id_futuro_11
2048,-57.5594552,id_futuro_11
2049,-61.78299517,id_futuro_11
2050,-54.75736961,id_futuro_11
1990,-63.33224044,id_futuro_12
1991,-59.66992548,id_futuro_12
1992,-60.49756132,id_futuro_12
1993,-60.40270355,id_futuro_12
1994,-60.25809117,id_futuro_12
1995,-61.97127834,id_futuro_12
1996,-58.85718517,id_futuro_12
1997,-61.55841522,id_futuro_12
1998,-45.21235093,id_futuro_12
1999,-57.66985938,id_futuro_12
2000,-65.94570942,id_futuro_12
2001,-66.57002968,id_futuro_12
2002,-56.9177178,id_futuro_12
2003,-69.35342554,id_futuro_12
2004,-64.22017798,id_futuro_12
2005,-63.16781914,id_futuro_12
2006,-65.86464056,id_futuro_12
2007,-54.83547569,id_futuro_12
2008,-54.56990956,id_futuro_12
2009,-57.67206523,id_futuro_12
2010,-64.49615671,id_futuro_12
2011,-59.04463864,id_futuro_12
2012,-58.1032636,id_futuro_12
2013,-64.77339325,id_futuro_12
2014,-56.90301891,id_futuro_12
2015,-46.55264505,id_futuro_12
2016,-60.61134026,id_futuro_12
2017,13.47715115,id_futuro_12
2018,-50.41284301,id_futuro_12
2019,-48.00690099,id_futuro_12
2020,-49.53094698,id_futuro_12
2021,-45.67875623,id_futuro_12
2022,-44.03088868,id_futuro_12
2023,-51.00317819,id_futuro_12
2024,-49.74943632,id_futuro_12
2025,-52.377832,id_futuro_12
2026,-40.20003568,id_futuro_12
2027,-48.00292234,id_futuro_12
2028,-36.78013442,id_futuro_12
2029,-37.96530706,id_futuro_12
2030,-47.21322046,id_futuro_12
2031,-39.71134491,id_futuro_12
2032,-42.30665462,id_futuro_12
2033,-35.71384909,id_futuro_12
2034,-39.54527811,id_futuro_12
2035,-38.08146977,id_futuro_12
2036,-42.7960456,id_futuro_12
2037,-42.25640119,id_futuro_12
2038,-44.517135,id_futuro_12
2039,-46.12749303,id_futuro_12
2040,-33.73856966,id_futuro_12
2041,-30.96888725,id_futuro_12
2042,40.37479657,id_futuro_12
2043,-33.1380048,id_futuro_12
2044,-35.10380842,id_futuro_12
2045,-38.23064819,id_futuro_12
2046,-40.5932021,id_futuro_12
2047,-37.1016175,id_futuro_12
2048,-31.32148642,id_futuro_12
2049,-34.92914022,id_futuro_12
2050,-27.69966882,id_futuro_12
1990,-63.33224044,id_futuro_13
1991,-59.66992548,id_futuro_13
1992,-60.49756132,id_futuro_13
1993,-60.40270355,id_futuro_13
1994,-60.25809117,id_futuro_13
1995,-61.97127834,id_futuro_13
1996,-58.85718517,id_futuro_13
1997,-61.55841522,id_futuro_13
1998,-45.21235093,id_futuro_13
1999,-57.66985938,id_futuro_13
2000,-65.94570942,id_futuro_13
2001,-66.57002968,id_futuro_13
2002,-56.9177178,id_futuro_13
2003,-69.35342554,id_futuro_13
2004,-64.22017798,id_futuro_13
2005,-63.16781914,id_futuro_13
2006,-65.86464056,id_futuro_13
2007,-54.83547569,id_futuro_13
2008,-54.56990956,id_futuro_13
2009,-57.67206523,id_futuro_13
2010,-64.49615671,id_futuro_13
2011,-59.04463864,id_futuro_13
2012,-58.1032636,id_futuro_13
2013,-64.77339325,id_futuro_13
2014,-56.90301891,id_futuro_13
2015,-46.55264505,id_futuro_13
2016,-60.61134026,id_futuro_13
2017,13.47715115,id_futuro_13
2018,-50.41284301,id_futuro_13
2019,-48.00690099,id_futuro_13
2020,-49.53094698,id_futuro_13
2021,-53.65558364,id_futuro_13
2022,-48.23711508,id_futuro_13
2023,-53.61647892,id_futuro_13
2024,-53.45053173,id_futuro_13
2025,-40.0878942,id_futuro_13
2026,-37.99164317,id_futuro_13
2027,-41.54974503,id_futuro_13
2028,-41.69759156,id_futuro_13
2029,-38.2469401,id_futuro_13
2030,-50.77519695,id_futuro_13
