tiempo,i_sustitucion,m_sustitucion,c_sustitucion
2026,0.7,-0.0103908,0.0000021
2027,0.7,-0.012404,0.0000028
2028,0.7,-0.0148078,0.0000035
2029,0.7,-0.0176771,0.0000042
2030,0.7,-0.0211022,0.0000049
2031,0.7,-0.0251923,0.0000063
2032,0.7,-0.0300741,0.000007
2033,0.7,-0.0359009,0.0000091
2034,0.7,-0.0428582,0.0000105
2035,0.7,-0.051163,0.0000126
2036,0.7,-0.0610771,0.0000154
2037,0.7,-0.072912,0.0000189
2038,0.7,-0.0870415,0.0000231
2039,0.7,-0.103908,0.000028
2040,0.7,-0.1240428,0.0000336
2041,0.7,-0.1480794,0.0000413
2042,0.7,-0.1767731,0.0000497
2043,0.7,-0.2110276,0.0000602
2044,0.7,-0.2519195,0.0000728
2045,0.7,-0.3007361,0.0000882
2046,0.7,-0.3590118,0.0001071
2047,0.7,-0.4285799,0.0001295
2048,0.7,-0.5116286,0.0001568
2049,0.7,-0.6107696,0.0001897
2050,0.7,-0.7291228,0.0002296
1990,0.8,0,0
1991,0.8,0,0
1992,0.8,0,0
1993,0.8,0,0
1994,0.8,0,0
1995,0.8,0,0
1996,0.8,0,0
1997,0.8,0,0
1998,0.8,0,0
1999,0.8,0,0
2000,0.8,0,0
2001,0.8,0,0
2002,0.8,0,0
2003,0.8,0,0
2004,0.8,0,0
2005,0.8,0,0
2006,0.8,0,0
2007,0.8,0,0
2008,0.8,0,0
2009,0.8,0,0
2010,0.8,0,0
2011,0.8,0,0
2012,0.8,0,0
2013,0.8,0,0
2014,0.8,0,0
2015,0.8,0,0
2016,0.8,0,0
2017,0.8,0,0
2018,0.8,0,0
2019,0.8,0,0
2020,0.8,0,0
2021,0.8,0,0
2022,0.8,0,0
2023,0.8,0,0
2024,0.8,-0.0083328,0.0000016
2025,0.8,-0.009948,0.0000024
2026,0.8,-0.0118752,0.0000024
2027,0.8,-0.014176,0.0000032
2028,0.8,-0.0169232,0.000004
2029,0.8,-0.0202024,0.0000048
2030,0.8,-0.0241168,0.0000056
2031,0.8,-0.0287912,0.0000072
2032,0.8,-0.0343704,0.000008
2033,0.8,-0.0410296,0.0000104
2034,0.8,-0.0489808,0.000012
2035,0.8,-0.058472,0.0000144
2036,0.8,-0.0698024,0.0000176
2037,0.8,-0.083328,0.0000216
2038,0.8,-0.099476,0.0000264
2039,0.8,-0.118752,0.000032
2040,0.8,-0.1417632,0.0000384
2041,0.8,-0.1692336,0.0000472
2042,0.8,-0.2020264,0.0000568
2043,0.8,-0.2411744,0.0000688
2044,0.8,-0.287908,0.0000832
2045,0.8,-0.3436984,0.0001008
2046,0.8,-0.4102992,0.0001224
2047,0.8,-0.4898056,0.000148
2048,0.8,-0.5847184,0.0001792
2049,0.8,-0.6980224,0.0002168
2050,0.8,-0.8332832,0.0002624
1990,0.9,0,0
1991,0.9,0,0
1992,0.9,0,0
1993,0.9,0,0
1994,0.9,0,0
1995,0.9,0,0
1996,0.9,0,0
1997,0.9,0,0
1998,0.9,0,0
1999,0.9,0,0
2000,0.9,0,0
2001,0.9,0,0
2002,0.9,0,0
2003,0.9,0,0
2004,0.9,0,0
2005,0.9,0,0
2006,0.9,0,0
2007,0.9,0,0
2008,0.9,0,0
2009,0.9,0,0
2010,0.9,0,0
2011,0.9,0,0
2012,0.9,0,0
2013,0.9,0,0
2014,0.9,0,0
2015,0.9,0,0
2016,0.9,0,0
2017,0.9,0,0
2018,0.9,0,0
2019,0.9,0,0
2020,0.9,0,0
2021,0.9,0,0
2022,0.9,0,0
2023,0.9,0,0
2024,0.9,-0.0093744,0.0000018
2025,0.9,-0.0111915,0.0000027
2026,0.9,-0.0133596,0.0000027
2027,0.9,-0.015948,0.0000036
2028,0.9,-0.0190386,0.0000045
2029,0.9,-0.0227277,0.0000054
2030,0.9,-0.0271314,0.0000063
2031,0.9,-0.0323901,0.0000081
2032,0.9,-0.0386667,0.000009
2033,0.9,-0.0461583,0.0000117
2034,0.9,-0.0551034,0.0000135
2035,0.9,-0.065781,0.0000162
2036,0.9,-0.0785277,0.0000198
2037,0.9,-0.093744,0.0000243
2038,0.9,-0.1119105,0.0000297
2039,0.9,-0.133596,0.000036
2040,0.9,-0.1594836,0.0000432
2041,0.9,-0.1903878,0.0000531
2042,0.9,-0.2272797,0.0000639
2043,0.9,-0.2713212,0.0000774
2044,0.9,-0.3238965,0.0000936
2045,0.9,-0.3866607,0.0001134
2046,0.9,-0.4615866,0.0001377
2047,0.9,-0.5510313,0.0001665
2048,0.9,-0.6578082,0.0002016
2049,0.9,-0.7852752,0.0002439
2050,0.9,-0.9374436,0.0002952
1990,1,0,0
1991,1,0,0
1992,1,0,0
1993,1,0,0
1994,1,0,0
1995,1,0,0
1996,1,0,0
1997,1,0,0
1998,1,0,0
1999,1,0,0
2000,1,0,0
2001,1,0,0
2002,1,0,0
2003,1,0,0
2004,1,0,0
2005,1,0,0
2006,1,0,0
2007,1,0,0
2008,1,0,0
2009,1,0,0
2010,1,0,0
2011,1,0,0
2012,1,0,0
2013,1,0,0
2014,1,0,0
2015,1,0,0
2016,1,0,0
2017,1,0,0
2018,1,0,0
2019,1,0,0
2020,1,0,0
2021,1,0,0
2022,1,0,0
2023,1,0,0
2024,1,-0.010416,0.000002
2025,1,-0.012435,0.000003
2026,1,-0.014844,0.000003
2027,1,-0.01772,0.000004
2028,1,-0.021154,0.000005
2029,1,-0.025253,0.000006
2030,1,-0.030146,0.000007
2031,1,-0.035989,0.000009
2032,1,-0.042963,0.00001
2033,1,-0.051287,0.000013
2034,1,-0.061226,0.000015
2035,1,-0.07309,0.000018
2036,1,-0.087253,0.000022
2037,1,-0.10416,0.000027
2038,1,-0.124345,0.000033
2039,1,-0.14844,0.00004
2040,1,-0.177204,0.000048
2041,1,-0.211542,0.000059
2042,1,-0.252533,0.000071
2043,1,-0.301468,0.000086
2044,1,-0.359885,0.000104
2045,1,-0.429623,0.000126
2046,1,-0.512874,0.000153
2047,1,-0.612257,0.000185
2048,1,-0.730898,0.000224
2049,1,-0.872528,0.000271
2050,1,-1.041604,0.000328
